precipitation_dmi	soil_ph	org_mat	soil_c	soil_p	ellenberg_l	ellenberg_f	ellenberg_n
674	7.131	100	6062.993	13.996	5	6.509	5.818
681	6.069	0	12.018	96.627	6.661	5.11	5.815
674	7.068	0	12.762	81.571	7.018	4.781	6.422
681	6.128	100	4653.516	18.922	6.259	7.522	4.583
661.2	4.5	0	8146.909	27.895	4.389	5.374	5.661
661.2	4.963	0	6802.874	52.744	6.494	4.457	3.812
704.6	4.954	0	460.885	42.122	4.608	5.648	6.029
718.7	4.171	100	2173.24	2.942	7.5	7.562	1.635
732.6	4.847	0	5674.838	35.358	6.602	5.253	3.751
760	4.171	20	6783.237	13.69	5.794	7.5	3.781
760	4.455	100	3671.758	6.246	7.392	7.524	1.856
734.9	4.706	100	2529.62	4.664	6.875	7.536	2.513
632.9	4.12	13.75	3376.008	17.742	5.191	5.864	4.188
632.9	4.131	28.75	5939.091	15.444	4.193	5.372	4.747
651.6	6.529	0	517.781	112.113	7.438	4.833	6.812
640.7	5.969	100	3410.228	8.019	5.922	8.214	4.843
651.6	6.026	100	2323.436	7.41	6.352	8.732	5.264
640.7	5.845	100	2261.023	5.581	6.125	8.689	5.529
642.7	4.57	75	5941.086	21.532	6.223	6.853	4.493
640.7	7.697	0	5894.154	96.623	6.596	5.08	5.348
604.3	5.688	0	5310.676	22.953	4.715	6.291	5.981
603.8	5.89	0	91.582	57.083	6.837	3.698	2.69
603.8	4.32	33.75	3035.275	9.246	6.453	6.618	3.264
604.3	6.083	0	7808.932	40.328	6.685	6.383	5.19
604.3	5.614	0	5474.746	26.755	7.032	7.062	5.893
604.3	6.095	0	8910.933	62.087	6.279	4.619	4.262
604.3	7.083	0	3222.158	16.191	3.632	5.159	5.435
604.3	7.917	0	4551.107	29.987	6.242	4.829	4.521
604.7	6.589	0	6.263	45.509	6.669	5.154	5.285
604.3	4.33	0	1272.596	22.489	4.073	5.569	4.903
